"","Region_name","Lat_S","Lon_S","Lat_E","Lon_E","Dist_S","Dist_E","Area_Backscatter_Strength","Frequency","Time_S","Time_E","Date_S","Boat","areaKm","distance","sum_trans","Actual_Weighting","calc_actual_mean_sa","trans_meanSa","TS","biomass_density","density","weighted_mean_biomass_calc","trans_biomass","total_biomass","se","standard_error_tonnes","standard_error_perc","mean_biomass_density","meanSa","Vessel","Transect_No","TransCount","SD","Variance","SurveyArea","Reader"
"1","BP_T01",43.56266495,-66.43516666,43.23586007,-66.43272221,3525.009687,39942.848278,-48.594745999,38," 19:54:50.9840"," 22:13:25.9840",20200831,"BP",814.815978000626,36.417838591,532.441142051,0.0683978673224161,9.45296305458679e-07,-60.2443203947442,-34.8908453636049,0.0426196556496245,1.55211574025203,0.00291509355245008,2375.26480390293,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"BP","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"2","BP_T02",43.23738465,-66.29785227,43.56479425,-66.29970667,51009.712098,87436.645195,-57.1971844767,38," 22:49:42.9840"," 01:01:06.9840",20200831,"BP",814.815978000626,36.426933097,532.441142051,0.0684149480948841,1.30446536964339e-07,-68.8456744586419,-34.8908453636049,0.0058798478567527,0.214184824498469,0.000402269485925552,327.775604594237,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"BP","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"3","C1_T01",43.56908156,-66.395164,43.23383283,-66.39543881,1074.656836,42086.20251,-50.9847670751,38," 20:00:08.4690"," 22:26:53.4580",20200831,"C1",814.815978000626,41.011545674,532.441142051,0.0770255009145625,6.13985088491912e-07,-62.1184217619486,-34.8908453636049,0.0245814687670675,1.00812402907459,0.00189339994499905,1542.77252793073,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"C1","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"4","C1_T02",43.23480022,-66.25964393,43.56701932,-66.25915438,53351.270579,92877.159174,-58.8994436502,38," 23:02:28.4580"," 01:25:10.4620",20200831,"C1",814.815978000626,39.525888595,532.441142051,0.0742352261561598,9.56457486600838e-08,-70.1933432908153,-34.8908453636049,0.00397319766289868,0.157044168189648,0.000294951227068409,240.330972546231,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"C1","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"5","FM_T01",43.55956833,-66.49444,43.232155,-66.49317667,1751.754833,39544.772,-51.9627150727,38," 21:11:13.5730"," 23:36:25.5800",20200831,"FM",814.815978000626,37.793017167,532.441142051,0.0709806477790553,4.51719096884037e-07,-63.4513154880977,-34.8908453636049,0.0196251519990351,0.741693706404517,0.00139300600165393,1135.04354759839,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"FM","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"6","FM_T02",43.23418833,-66.35554667,43.56620056,-66.35720667,51026.859167,88777.270896,-49.2304323465,38," 00:14:34.5720"," 02:35:51.0810",20200831,"FM",814.815978000626,37.750411729,532.441142051,0.0709006287222336,8.46460802330082e-07,-60.7239314827672,-34.8908453636049,0.0368163984631437,1.3898342003626,0.00261030579832517,2126.91887194303,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"FM","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"7","LB_T01",43.5660678,-66.45462417,43.2358894,-66.45424293,795.233065,39043.966226,-51.9600467243,38," 19:53:13.9060"," 22:35:51.4060",20200831,"LB",814.815978000626,38.248733161,532.441142051,0.0718365470663353,4.57446992546688e-07,-63.3965922329854,-34.8908453636049,0.0196372135922023,0.751098542713709,0.00141066961846792,1149.43614480771,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LB","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"8","LB_T02",43.23320616,-66.31839717,43.56672093,-66.31781242,50360.360435,88337.634971,-49.4083986061,38," 23:17:55.9060"," 01:29:49.9060",20200831,"LB",814.815978000626,37.977274536,532.441142051,0.0713267092578701,8.17358017855907e-07,-60.8758767281693,-34.8908453636049,0.03533822045666,1.34204929989627,0.00252055897620271,2053.79172730287,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LB","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"9","LJ_T01",43.56274767,-66.47386667,43.23407657,-66.47406667,184.783037,36823.075723,-52.6895948161,38," 19:55:18.2130"," 22:25:10.7130",20200831,"LJ",814.815978000626,36.638292686,532.441142051,0.0688119113877391,3.70428284022698e-07,-64.312958602028,-34.8908453636049,0.0166006485297572,0.60821941961066,0.00114232235560865,930.782507377243,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LJ","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"10","LJ_T02",43.23473443,-66.33683333,43.56726893,-66.33743333,48237.955369,85370.564928,-45.5438527351,38," 23:04:40.7130"," 01:23:25.7130",20200831,"LJ",814.815978000626,37.132609559,532.441142051,0.0697403086019285,1.94580175736903e-06,-57.1090140870609,-34.8908453636049,0.0860397743747282,3.19488134840124,0.00600044041693385,4889.25472675844,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LJ","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"11","LM_T01",43.56330194,-66.37652613,43.232525,-66.37642,3092.62099,40571.723373,-47.4893992729,38," 21:04:40.7580"," 23:23:36.2580",20200831,"LM",814.815978000626,37.479102383,532.441142051,0.070391071280908,1.2548090650467e-06,-59.0142235251371,-34.8908453636049,0.0549723887527521,2.06031578630247,0.00386956533517676,3152.98366301937,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LM","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"12","LM_T02",43.23373167,-66.23950167,43.56445485,-66.24001333,51767.717138,89048.573081,-60.2814053298,38," 23:58:00.2580"," 02:19:57.2580",20200831,"LM",814.815978000626,37.280855943,532.441142051,0.0700187363421834,6.56256677774767e-08,-71.8292626437688,-34.8908453636049,0.00289030719085479,0.107753126013275,0.000202375657144379,164.898918999616,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"LM","T02",14,20668.540298394,30513468.4333098,"German","Allan"
"13","SL_T01",43.56618281,-66.415775,43.23956175,-66.41536167,583.840229,40019.525137,-46.494835562,38," 20:02:22.4710"," 22:24:12.4750",20200831,"SL",814.815978000626,39.435684908,532.441142051,0.0740658108351489,1.66009990774304e-06,-57.7986577456485,-34.8908453636049,0.0691195624357721,2.72577728519594,0.00511939643637616,4171.36601407876,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"SL","T01",14,20668.540298394,30513468.4333098,"German","Allan"
"14","SL_T02",43.23380537,-66.27782835,43.5659519,-66.27893754,52645.524291,91968.478313,-55.1328874847,38," 23:07:29.4750"," 01:31:30.4800",20200831,"SL",814.815978000626,39.322954022,532.441142051,0.0738540862385751,2.26509165844956e-07,-66.4491421927877,-34.8908453636049,0.00945792330332088,0.371913483200089,0.00069850628328129,569.154080351427,24829.774111211,0.0067793218319309,5523.89974866577,22.2470801543525,0.0305394113596121,-50.0517130441881,"SL","T02",14,20668.540298394,30513468.4333098,"German","Allan"
